date,team_1,team_1_score,team_2,team_2_score,stadium_attendance,stadium
Wed Feb 5 2020,Orlando Magic,100,Boston Celtics,116,19156,TD Garden
Wed Feb 5 2020,Golden State Warriors,88,Brooklyn Nets,129,14352,Barclays Center
Wed Feb 5 2020,Indiana Pacers,118,Toronto Raptors,119,19800,Scotiabank Arena
Wed Feb 5 2020,Atlanta Hawks,127,Minnesota Timberwolves,120,10779,Target Center
Wed Feb 5 2020,Cleveland Cavaliers,103,Oklahoma City Thunder,109,18203,Chesapeake Energy Arena
Wed Feb 5 2020,Memphis Grizzlies,121,Dallas Mavericks,107,20069,American Airlines Center
Wed Feb 5 2020,Denver Nuggets,98,Utah Jazz,95,18306,Vivint Smart Home Arena
Wed Feb 5 2020,Miami Heat,111,Los Angeles Clippers,128,19068,STAPLES Center
Thu Feb 6 2020,Orlando Magic,103,New York Knicks,105,18895,Madison Square Garden (IV)
Thu Feb 6 2020,New Orleans Pelicans,125,Chicago Bulls,119,18247,United Center
Thu Feb 6 2020,Philadelphia 76ers,101,Milwaukee Bucks,112,17928,Fiserv Forum
Thu Feb 6 2020,San Antonio Spurs,117,Portland Trail Blazers,125,19653,Moda Center
Thu Feb 6 2020,Houston Rockets,121,Los Angeles Lakers,111,18997,STAPLES Center
Fri Feb 7 2020,Memphis Grizzlies,107,Philadelphia 76ers,119,20779,Wells Fargo Center
Fri Feb 7 2020,Dallas Mavericks,118,Washington Wizards,119,20476,Capital One Arena
Fri Feb 7 2020,Atlanta Hawks,107,Boston Celtics,112,19156,TD Garden
Fri Feb 7 2020,Toronto Raptors,115,Indiana Pacers,106,17028,Bankers Life Fieldhouse
Fri Feb 7 2020,Detroit Pistons,101,Oklahoma City Thunder,108,18203,Chesapeake Energy Arena
Fri Feb 7 2020,Houston Rockets,91,Phoenix Suns,127,17043,Talking Stick Resort Arena
Fri Feb 7 2020,Miami Heat,97,Sacramento Kings,105,16760,Golden 1 Center
Fri Feb 7 2020,Portland Trail Blazers,114,Utah Jazz,117,18306,Vivint Smart Home Arena
Sat Feb 8 2020,Milwaukee Bucks,111,Orlando Magic,95,16632,Amway Center
Sat Feb 8 2020,Dallas Mavericks,116,Charlotte Hornets,100,19370,Spectrum Center
Sat Feb 8 2020,New York Knicks,95,Detroit Pistons,92,15980,Little Caesars Arena
Sat Feb 8 2020,New Orleans Pelicans,124,Indiana Pacers,117,17923,Bankers Life Fieldhouse
Sat Feb 8 2020,Brooklyn Nets,118,Toronto Raptors,119,19800,Scotiabank Arena
Sat Feb 8 2020,Los Angeles Clippers,115,Minnesota Timberwolves,142,18978,Target Center
Sat Feb 8 2020,Los Angeles Lakers,125,Golden State Warriors,120,18064,Chase Center
Sat Feb 8 2020,Denver Nuggets,117,Phoenix Suns,108,16843,Talking Stick Resort Arena
Sat Feb 8 2020,San Antonio Spurs,102,Sacramento Kings,122,16756,Golden 1 Center
Sun Feb 9 2020,Boston Celtics,112,Oklahoma City Thunder,111,18203,Chesapeake Energy Arena
Sun Feb 9 2020,New York Knicks,135,Atlanta Hawks,140,16309,State Farm Arena
Sun Feb 9 2020,Chicago Bulls,111,Philadelphia 76ers,118,21018,Wells Fargo Center
Sun Feb 9 2020,Memphis Grizzlies,106,Washington Wizards,99,17251,Capital One Arena
Sun Feb 9 2020,Utah Jazz,114,Houston Rockets,113,18055,Toyota Center
Sun Feb 9 2020,Los Angeles Clippers,133,Cleveland Cavaliers,92,17240,Rocket Mortgage Fieldhouse
Sun Feb 9 2020,Miami Heat,109,Portland Trail Blazers,115,19726,Moda Center
Mon Feb 10 2020,Charlotte Hornets,87,Detroit Pistons,76,13941,Little Caesars Arena
Mon Feb 10 2020,Brooklyn Nets,106,Indiana Pacers,105,16761,Bankers Life Fieldhouse
Mon Feb 10 2020,Atlanta Hawks,126,Orlando Magic,135,17076,Amway Center
Mon Feb 10 2020,Minnesota Timberwolves,126,Toronto Raptors,137,19800,Scotiabank Arena
Mon Feb 10 2020,Sacramento Kings,111,Milwaukee Bucks,123,17463,Fiserv Forum
Mon Feb 10 2020,Utah Jazz,123,Dallas Mavericks,119,19793,American Airlines Center
Mon Feb 10 2020,San Antonio Spurs,120,Denver Nuggets,127,19520,Pepsi Center
Mon Feb 10 2020,Miami Heat,113,Golden State Warriors,101,18064,Chase Center
Mon Feb 10 2020,Phoenix Suns,100,Los Angeles Lakers,125,18997,STAPLES Center
Tue Feb 11 2020,Los Angeles Clippers,103,Philadelphia 76ers,110,20730,Wells Fargo Center
Tue Feb 11 2020,Chicago Bulls,114,Washington Wizards,126,15135,Capital One Arena
Tue Feb 11 2020,Portland Trail Blazers,117,New Orleans Pelicans,138,15739,Smoothie King Center
Tue Feb 11 2020,San Antonio Spurs,114,Oklahoma City Thunder,106,18203,Chesapeake Energy Arena
Tue Feb 11 2020,Boston Celtics,105,Houston Rockets,116,18055,Toyota Center
Wed Feb 12 2020,Atlanta Hawks,105,Cleveland Cavaliers,127,16200,Rocket Mortgage Fieldhouse
Wed Feb 12 2020,Detroit Pistons,112,Orlando Magic,116,16607,Amway Center
Wed Feb 12 2020,Toronto Raptors,91,Brooklyn Nets,101,15823,Barclays Center
Wed Feb 12 2020,Milwaukee Bucks,111,Indiana Pacers,118,17018,Bankers Life Fieldhouse
Wed Feb 12 2020,Washington Wizards,114,New York Knicks,96,18835,Madison Square Garden (IV)
Wed Feb 12 2020,Portland Trail Blazers,104,Memphis Grizzlies,111,16889,FedEx Forum
Wed Feb 12 2020,Charlotte Hornets,115,Minnesota Timberwolves,108,18978,Target Center
Wed Feb 12 2020,Sacramento Kings,111,Dallas Mavericks,130,19842,American Airlines Center
Wed Feb 12 2020,Golden State Warriors,106,Phoenix Suns,112,15216,Talking Stick Resort Arena
Wed Feb 12 2020,Miami Heat,101,Utah Jazz,116,18306,Vivint Smart Home Arena
Wed Feb 12 2020,Los Angeles Lakers,120,Denver Nuggets,116,19860,Pepsi Center
Thu Feb 13 2020,Los Angeles Clippers,133,Boston Celtics,141,19156,TD Garden
Thu Feb 13 2020,Oklahoma City Thunder,123,New Orleans Pelicans,118,17865,Smoothie King Center
Thu Feb 20 2020,Milwaukee Bucks,126,Detroit Pistons,106,16097,Little Caesars Arena
Thu Feb 20 2020,Miami Heat,124,Atlanta Hawks,129,17356,State Farm Arena
Thu Feb 20 2020,Charlotte Hornets,103,Chicago Bulls,93,17463,United Center
Thu Feb 20 2020,Brooklyn Nets,104,Philadelphia 76ers,112,20806,Wells Fargo Center
Thu Feb 20 2020,Memphis Grizzlies,125,Sacramento Kings,129,17078,Golden 1 Center
Thu Feb 20 2020,Houston Rockets,135,Golden State Warriors,105,18064,Chase Center
Fri Feb 21 2020,Dallas Mavericks,122,Orlando Magic,106,18846,Amway Center
Fri Feb 21 2020,Cleveland Cavaliers,113,Washington Wizards,108,18895,Capital One Arena
Fri Feb 21 2020,Indiana Pacers,106,New York Knicks,98,19812,Madison Square Garden (IV)
Fri Feb 21 2020,Phoenix Suns,101,Toronto Raptors,118,19800,Scotiabank Arena
Fri Feb 21 2020,Boston Celtics,127,Minnesota Timberwolves,117,18978,Target Center
Fri Feb 21 2020,Denver Nuggets,101,Oklahoma City Thunder,113,18203,Chesapeake Energy Arena
Fri Feb 21 2020,San Antonio Spurs,113,Utah Jazz,104,18306,Vivint Smart Home Arena
Fri Feb 21 2020,Memphis Grizzlies,105,Los Angeles Lakers,117,18997,STAPLES Center
Fri Feb 21 2020,New Orleans Pelicans,128,Portland Trail Blazers,115,19946,Moda Center
Sat Feb 22 2020,Sacramento Kings,112,Los Angeles Clippers,103,19068,STAPLES Center
Sat Feb 22 2020,Brooklyn Nets,115,Charlotte Hornets,86,19079,Spectrum Center
Sat Feb 22 2020,Dallas Mavericks,107,Atlanta Hawks,111,17050,State Farm Arena
Sat Feb 22 2020,Phoenix Suns,112,Chicago Bulls,104,20506,United Center
Sat Feb 22 2020,Cleveland Cavaliers,105,Miami Heat,124,19754,AmericanAirlines Arena
Sat Feb 22 2020,Philadelphia 76ers,98,Milwaukee Bucks,119,18290,Fiserv Forum
Sat Feb 22 2020,Houston Rockets,120,Utah Jazz,110,18306,Vivint Smart Home Arena
Sun Feb 23 2020,Boston Celtics,112,Los Angeles Lakers,114,18997,STAPLES Center
Sun Feb 23 2020,Minnesota Timberwolves,116,Denver Nuggets,128,19626,Pepsi Center
Sun Feb 23 2020,Indiana Pacers,81,Toronto Raptors,127,19800,Scotiabank Arena
Sun Feb 23 2020,Washington Wizards,117,Chicago Bulls,126,18024,United Center
Sun Feb 23 2020,San Antonio Spurs,103,Oklahoma City Thunder,131,18203,Chesapeake Energy Arena
Sun Feb 23 2020,New Orleans Pelicans,115,Golden State Warriors,101,18064,Chase Center
Sun Feb 23 2020,Detroit Pistons,104,Portland Trail Blazers,107,19393,Moda Center
Mon Feb 24 2020,Miami Heat,119,Cleveland Cavaliers,125,17336,Rocket Mortgage Fieldhouse
Mon Feb 24 2020,Atlanta Hawks,112,Philadelphia 76ers,129,20836,Wells Fargo Center
Mon Feb 24 2020,Milwaukee Bucks,137,Washington Wizards,134,16580,Capital One Arena
Mon Feb 24 2020,Orlando Magic,115,Brooklyn Nets,113,16162,Barclays Center
Mon Feb 24 2020,New York Knicks,112,Houston Rockets,123,18055,Toyota Center
Mon Feb 24 2020,Minnesota Timberwolves,123,Dallas Mavericks,139,19936,American Airlines Center
Mon Feb 24 2020,Phoenix Suns,131,Utah Jazz,111,18306,Vivint Smart Home Arena
Mon Feb 24 2020,Memphis Grizzlies,97,Los Angeles Clippers,124,19068,STAPLES Center
Tue Feb 25 2020,Charlotte Hornets,80,Indiana Pacers,119,16088,Bankers Life Fieldhouse
Tue Feb 25 2020,Milwaukee Bucks,108,Toronto Raptors,97,19993,Scotiabank Arena
Tue Feb 25 2020,Oklahoma City Thunder,124,Chicago Bulls,122,16911,United Center
Tue Feb 25 2020,Detroit Pistons,98,Denver Nuggets,115,19143,Pepsi Center
Tue Feb 25 2020,New Orleans Pelicans,109,Los Angeles Lakers,118,18997,STAPLES Center
Tue Feb 25 2020,Boston Celtics,118,Portland Trail Blazers,106,19460,Moda Center
Tue Feb 25 2020,Sacramento Kings,112,Golden State Warriors,94,18064,Chase Center
Wed Feb 26 2020,New York Knicks,101,Charlotte Hornets,107,13152,Spectrum Center
Wed Feb 26 2020,Philadelphia 76ers,94,Cleveland Cavaliers,108,16332,Rocket Mortgage Fieldhouse
Wed Feb 26 2020,Brooklyn Nets,106,Washington Wizards,110,15021,Capital One Arena
Wed Feb 26 2020,Orlando Magic,130,Atlanta Hawks,120,14967,State Farm Arena
Wed Feb 26 2020,Minnesota Timberwolves,129,Miami Heat,126,19600,AmericanAirlines Arena
Wed Feb 26 2020,Memphis Grizzlies,112,Houston Rockets,140,18055,Toyota Center
Wed Feb 26 2020,Dallas Mavericks,109,San Antonio Spurs,103,18354,AT&T Center
Wed Feb 26 2020,Los Angeles Clippers,102,Phoenix Suns,92,15157,Talking Stick Resort Arena
Wed Feb 26 2020,Boston Celtics,114,Utah Jazz,103,18306,Vivint Smart Home Arena
Thu Feb 27 2020,New York Knicks,106,Philadelphia 76ers,115,20175,Wells Fargo Center
Thu Feb 27 2020,Portland Trail Blazers,100,Indiana Pacers,106,16872,Bankers Life Fieldhouse
Thu Feb 27 2020,Sacramento Kings,108,Oklahoma City Thunder,112,18203,Chesapeake Energy Arena
Thu Feb 27 2020,Los Angeles Lakers,116,Golden State Warriors,86,18064,Chase Center
Fri Feb 28 2020,Minnesota Timberwolves,125,Orlando Magic,136,18846,Amway Center
Fri Feb 28 2020,Brooklyn Nets,118,Atlanta Hawks,141,17034,State Farm Arena
Fri Feb 28 2020,Charlotte Hornets,99,Toronto Raptors,96,19800,Scotiabank Arena
Fri Feb 28 2020,Sacramento Kings,104,Memphis Grizzlies,101,17794,FedEx Forum
Fri Feb 28 2020,Dallas Mavericks,118,Miami Heat,126,19704,AmericanAirlines Arena
Fri Feb 28 2020,Oklahoma City Thunder,86,Milwaukee Bucks,133,18412,Fiserv Forum
Fri Feb 28 2020,Cleveland Cavaliers,104,New Orleans Pelicans,116,18304,Smoothie King Center
Fri Feb 28 2020,Detroit Pistons,113,Phoenix Suns,111,17142,Talking Stick Resort Arena
Fri Feb 28 2020,Washington Wizards,119,Utah Jazz,129,18306,Vivint Smart Home Arena
Fri Feb 28 2020,Denver Nuggets,103,Los Angeles Clippers,132,19068,STAPLES Center
Sat Feb 29 2020,Chicago Bulls,115,New York Knicks,125,19812,Madison Square Garden (IV)
Sat Feb 29 2020,Portland Trail Blazers,117,Atlanta Hawks,129,17765,State Farm Arena
Sat Feb 29 2020,Brooklyn Nets,113,Miami Heat,116,19600,AmericanAirlines Arena
Sat Feb 29 2020,Indiana Pacers,113,Cleveland Cavaliers,104,19432,Rocket Mortgage Fieldhouse
Sat Feb 29 2020,Los Angeles Lakers,88,Memphis Grizzlies,105,17794,FedEx Forum
Sat Feb 29 2020,Houston Rockets,111,Boston Celtics,110,19156,TD Garden
Sat Feb 29 2020,Orlando Magic,113,San Antonio Spurs,114,18354,AT&T Center
Sat Feb 29 2020,Golden State Warriors,115,Phoenix Suns,99,16395,Talking Stick Resort Arena
Sun Mar 1 2020,Milwaukee Bucks,93,Charlotte Hornets,85,19149,Spectrum Center
Sun Mar 1 2020,Philadelphia 76ers,130,Los Angeles Clippers,136,19068,STAPLES Center
Sun Mar 1 2020,Dallas Mavericks,111,Minnesota Timberwolves,91,18058,Target Center
Sun Mar 1 2020,Toronto Raptors,118,Denver Nuggets,133,19777,Pepsi Center
Sun Mar 1 2020,Detroit Pistons,100,Sacramento Kings,106,17499,Golden 1 Center
Sun Mar 1 2020,Los Angeles Lakers,122,New Orleans Pelicans,114,18547,Smoothie King Center
Sun Mar 1 2020,Washington Wizards,124,Golden State Warriors,110,18064,Chase Center
Mon Mar 2 2020,Utah Jazz,126,Cleveland Cavaliers,113,15453,Rocket Mortgage Fieldhouse
Mon Mar 2 2020,Houston Rockets,123,New York Knicks,125,18142,Madison Square Garden (IV)
Mon Mar 2 2020,Portland Trail Blazers,130,Orlando Magic,107,18078,Amway Center
Mon Mar 2 2020,Memphis Grizzlies,127,Atlanta Hawks,88,16207,State Farm Arena
Mon Mar 2 2020,Milwaukee Bucks,89,Miami Heat,105,19600,AmericanAirlines Arena
Mon Mar 2 2020,Dallas Mavericks,107,Chicago Bulls,109,18407,United Center
Mon Mar 2 2020,Indiana Pacers,116,San Antonio Spurs,111,17635,AT&T Center
Tue Mar 3 2020,San Antonio Spurs,104,Charlotte Hornets,103,12008,Spectrum Center
Tue Mar 3 2020,Brooklyn Nets,129,Boston Celtics,120,19156,TD Garden
Tue Mar 3 2020,Minnesota Timberwolves,139,New Orleans Pelicans,134,15264,Smoothie King Center
Tue Mar 3 2020,Los Angeles Clippers,109,Oklahoma City Thunder,94,18203,Chesapeake Energy Arena
Tue Mar 3 2020,Golden State Warriors,116,Denver Nuggets,100,19520,Pepsi Center
Tue Mar 3 2020,Toronto Raptors,123,Phoenix Suns,114,15553,Talking Stick Resort Arena
Tue Mar 3 2020,Philadelphia 76ers,107,Los Angeles Lakers,120,18997,STAPLES Center
Tue Mar 3 2020,Washington Wizards,126,Sacramento Kings,133,16419,Golden 1 Center
Wed Mar 4 2020,Boston Celtics,112,Cleveland Cavaliers,106,16897,Rocket Mortgage Fieldhouse
Wed Mar 4 2020,Oklahoma City Thunder,114,Detroit Pistons,107,15138,Little Caesars Arena
Wed Mar 4 2020,Indiana Pacers,100,Milwaukee Bucks,119,17695,Fiserv Forum
Wed Mar 4 2020,Memphis Grizzlies,118,Brooklyn Nets,79,16941,Barclays Center
Wed Mar 4 2020,Utah Jazz,112,New York Knicks,104,16588,Madison Square Garden (IV)
Wed Mar 4 2020,Orlando Magic,113,Miami Heat,116,19600,AmericanAirlines Arena
Wed Mar 4 2020,Chicago Bulls,108,Minnesota Timberwolves,115,13392,Target Center
Wed Mar 4 2020,New Orleans Pelicans,123,Dallas Mavericks,127,20459,American Airlines Center
Wed Mar 4 2020,Washington Wizards,104,Portland Trail Blazers,125,19393,Moda Center
Thu Mar 5 2020,Denver Nuggets,114,Charlotte Hornets,112,13311,Spectrum Center
Thu Mar 5 2020,Los Angeles Clippers,120,Houston Rockets,105,18055,Toyota Center
Thu Mar 5 2020,Philadelphia 76ers,125,Sacramento Kings,108,15485,Golden 1 Center
Thu Mar 5 2020,Toronto Raptors,121,Golden State Warriors,113,18064,Chase Center
Fri Mar 6 2020,Atlanta Hawks,112,Washington Wizards,118,17856,Capital One Arena
Fri Mar 6 2020,San Antonio Spurs,120,Brooklyn Nets,139,16277,Barclays Center
Fri Mar 6 2020,Oklahoma City Thunder,126,New York Knicks,103,19499,Madison Square Garden (IV)
Fri Mar 6 2020,Indiana Pacers,108,Chicago Bulls,102,20229,United Center
Fri Mar 6 2020,Orlando Magic,132,Minnesota Timberwolves,118,14315,Target Center
Fri Mar 6 2020,Miami Heat,104,New Orleans Pelicans,110,18384,Smoothie King Center
Fri Mar 6 2020,Utah Jazz,99,Boston Celtics,94,19156,TD Garden
Fri Mar 6 2020,Memphis Grizzlies,96,Dallas Mavericks,121,20370,American Airlines Center
Fri Mar 6 2020,Portland Trail Blazers,117,Phoenix Suns,127,15522,Talking Stick Resort Arena
Fri Mar 6 2020,Milwaukee Bucks,103,Los Angeles Lakers,113,18997,STAPLES Center
Sat Mar 7 2020,Houston Rockets,99,Charlotte Hornets,108,19159,Spectrum Center
Sat Mar 7 2020,Utah Jazz,111,Detroit Pistons,105,16590,Little Caesars Arena
Sat Mar 7 2020,Denver Nuggets,102,Cleveland Cavaliers,104,19432,Rocket Mortgage Fieldhouse
Sat Mar 7 2020,Atlanta Hawks,101,Memphis Grizzlies,118,17117,FedEx Forum
Sat Mar 7 2020,Philadelphia 76ers,114,Golden State Warriors,118,18064,Chase Center
Sat Mar 7 2020,Sacramento Kings,123,Portland Trail Blazers,111,19691,Moda Center
Sun Mar 8 2020,Chicago Bulls,107,Brooklyn Nets,110,15916,Barclays Center
Sun Mar 8 2020,New Orleans Pelicans,120,Minnesota Timberwolves,107,18978,Target Center
Sun Mar 8 2020,Los Angeles Lakers,112,Los Angeles Clippers,103,19068,STAPLES Center
Sun Mar 8 2020,Oklahoma City Thunder,105,Boston Celtics,104,19156,TD Garden
Sun Mar 8 2020,Milwaukee Bucks,131,Phoenix Suns,140,17282,Talking Stick Resort Arena
Sun Mar 8 2020,Miami Heat,100,Washington Wizards,89,18135,Capital One Arena
Sun Mar 8 2020,Indiana Pacers,112,Dallas Mavericks,109,20324,American Airlines Center
Sun Mar 8 2020,Orlando Magic,126,Houston Rockets,106,18055,Toyota Center
Sun Mar 8 2020,Detroit Pistons,84,New York Knicks,96,18361,Madison Square Garden (IV)
Sun Mar 8 2020,San Antonio Spurs,129,Cleveland Cavaliers,132,17995,Rocket Mortgage Fieldhouse
Sun Mar 8 2020,Toronto Raptors,118,Sacramento Kings,113,16449,Golden 1 Center
Mon Mar 9 2020,Charlotte Hornets,138,Atlanta Hawks,143,14399,State Farm Arena
Mon Mar 9 2020,Milwaukee Bucks,95,Denver Nuggets,109,19838,Pepsi Center
Mon Mar 9 2020,Toronto Raptors,101,Utah Jazz,92,18306,Vivint Smart Home Arena
Tue Mar 10 2020,New York Knicks,115,Washington Wizards,122,15048,Capital One Arena
Tue Mar 10 2020,Boston Celtics,114,Indiana Pacers,111,17053,Bankers Life Fieldhouse
Tue Mar 10 2020,Minnesota Timberwolves,111,Houston Rockets,117,18055,Toyota Center
Tue Mar 10 2020,Dallas Mavericks,109,San Antonio Spurs,119,18354,AT&T Center
Tue Mar 10 2020,Orlando Magic,120,Memphis Grizzlies,115,15388,FedEx Forum
Tue Mar 10 2020,Cleveland Cavaliers,103,Chicago Bulls,108,17837,United Center
Tue Mar 10 2020,Phoenix Suns,105,Portland Trail Blazers,121,19393,Moda Center
Tue Mar 10 2020,Brooklyn Nets,104,Los Angeles Lakers,102,18997,STAPLES Center
Tue Mar 10 2020,Los Angeles Clippers,131,Golden State Warriors,107,18064,Chase Center
Wed Mar 11 2020,Detroit Pistons,106,Philadelphia 76ers,124,20172,Wells Fargo Center
Wed Mar 11 2020,New York Knicks,136,Atlanta Hawks,131,15393,State Farm Arena
Wed Mar 11 2020,Charlotte Hornets,109,Miami Heat,98,19600,AmericanAirlines Arena
Wed Mar 11 2020,Denver Nuggets,97,Dallas Mavericks,113,20302,American Airlines Center
Thu Jul 30 2020,Utah Jazz,106,New Orleans Pelicans,104,,HP Field House
Thu Jul 30 2020,Los Angeles Clippers,101,Los Angeles Lakers,103,,The Arena
Fri Jul 31 2020,Orlando Magic,128,Brooklyn Nets,118,0,HP Field House
Fri Jul 31 2020,Memphis Grizzlies,135,Portland Trail Blazers,140,,The Arena
Fri Jul 31 2020,Phoenix Suns,125,Washington Wizards,112,,Visa Athletic Center
Fri Jul 31 2020,Boston Celtics,112,Milwaukee Bucks,119,,HP Field House
Fri Jul 31 2020,Sacramento Kings,120,San Antonio Spurs,129,,Visa Athletic Center
Fri Jul 31 2020,Houston Rockets,153,Dallas Mavericks,149,,The Arena
Sat Aug 1 2020,Miami Heat,125,Denver Nuggets,105,,HP Field House
Sat Aug 1 2020,Utah Jazz,94,Oklahoma City Thunder,110,,The Arena
Sat Aug 1 2020,New Orleans Pelicans,103,Los Angeles Clippers,126,,HP Field House
Sat Aug 1 2020,Philadelphia 76ers,121,Indiana Pacers,127,,Visa Athletic Center
Sat Aug 1 2020,Los Angeles Lakers,92,Toronto Raptors,107,,The Arena
Sun Aug 2 2020,Washington Wizards,110,Brooklyn Nets,118,,HP Field House
Sun Aug 2 2020,Portland Trail Blazers,124,Boston Celtics,128,,The Arena
Sun Aug 2 2020,San Antonio Spurs,108,Memphis Grizzlies,106,,Visa Athletic Center
Sun Aug 2 2020,Sacramento Kings,116,Orlando Magic,132,,HP Field House
Sun Aug 2 2020,Milwaukee Bucks,116,Houston Rockets,120,,The Arena
Sun Aug 2 2020,Dallas Mavericks,115,Phoenix Suns,117,,Visa Athletic Center
Mon Aug 3 2020,Toronto Raptors,107,Miami Heat,103,,HP Field House
Mon Aug 3 2020,Denver Nuggets,121,Oklahoma City Thunder,113,,The Arena
Mon Aug 3 2020,Indiana Pacers,111,Washington Wizards,100,,Visa Athletic Center
Mon Aug 3 2020,Memphis Grizzlies,99,New Orleans Pelicans,109,,HP Field House
Mon Aug 3 2020,San Antonio Spurs,130,Philadelphia 76ers,132,,Visa Athletic Center
Mon Aug 3 2020,Los Angeles Lakers,116,Utah Jazz,108,,The Arena
Tue Aug 4 2020,Brooklyn Nets,119,Milwaukee Bucks,116,,Visa Athletic Center
Tue Aug 4 2020,Dallas Mavericks,114,Sacramento Kings,110,,HP Field House
Tue Aug 4 2020,Phoenix Suns,117,Los Angeles Clippers,115,,The Arena
Tue Aug 4 2020,Orlando Magic,109,Indiana Pacers,120,,Visa Athletic Center
Tue Aug 4 2020,Boston Celtics,106,Miami Heat,112,,HP Field House
Tue Aug 4 2020,Houston Rockets,102,Portland Trail Blazers,110,,The Arena
Wed Aug 5 2020,Memphis Grizzlies,115,Utah Jazz,124,,HP Field House
Wed Aug 5 2020,Denver Nuggets,132,San Antonio Spurs,126,,Visa Athletic Center
Wed Aug 5 2020,Philadelphia 76ers,107,Washington Wizards,98,,The Arena
Wed Aug 5 2020,Oklahoma City Thunder,105,Los Angeles Lakers,86,,HP Field House
Wed Aug 5 2020,Toronto Raptors,109,Orlando Magic,99,,Visa Athletic Center
Wed Aug 5 2020,Brooklyn Nets,115,Boston Celtics,149,,The Arena
Thu Aug 6 2020,New Orleans Pelicans,125,Sacramento Kings,140,,HP Field House
Thu Aug 6 2020,Miami Heat,116,Milwaukee Bucks,130,,The Arena
Thu Aug 6 2020,Indiana Pacers,99,Phoenix Suns,114,,Visa Athletic Center
Thu Aug 6 2020,Los Angeles Clippers,126,Dallas Mavericks,111,,HP Field House
Thu Aug 6 2020,Portland Trail Blazers,125,Denver Nuggets,115,,Visa Athletic Center
Thu Aug 6 2020,Los Angeles Lakers,97,Houston Rockets,113,,The Arena
Fri Aug 7 2020,Utah Jazz,111,San Antonio Spurs,119,,HP Field House
Fri Aug 7 2020,Oklahoma City Thunder,92,Memphis Grizzlies,121,,Visa Athletic Center
Fri Aug 7 2020,Sacramento Kings,106,Brooklyn Nets,119,,The Arena
Fri Aug 7 2020,Orlando Magic,101,Philadelphia 76ers,108,,HP Field House
Fri Aug 7 2020,Washington Wizards,107,New Orleans Pelicans,118,,Visa Athletic Center
Fri Aug 7 2020,Boston Celtics,122,Toronto Raptors,100,,The Arena
Sat Aug 8 2020,Los Angeles Clippers,122,Portland Trail Blazers,117,,HP Field House
Sat Aug 8 2020,Utah Jazz,132,Denver Nuggets,134,,The Arena
Sat Aug 8 2020,Los Angeles Lakers,111,Indiana Pacers,116,,HP Field House
Sat Aug 8 2020,Phoenix Suns,119,Miami Heat,112,,Visa Athletic Center
Sat Aug 8 2020,Milwaukee Bucks,132,Dallas Mavericks,136,,The Arena
Sun Aug 9 2020,Washington Wizards,103,Oklahoma City Thunder,121,,The Arena
Sun Aug 9 2020,Memphis Grizzlies,99,Toronto Raptors,108,,Visa Athletic Center
Sun Aug 9 2020,San Antonio Spurs,122,New Orleans Pelicans,113,,HP Field House
Sun Aug 9 2020,Orlando Magic,119,Boston Celtics,122,,The Arena
Sun Aug 9 2020,Philadelphia 76ers,121,Portland Trail Blazers,124,,Visa Athletic Center
Sun Aug 9 2020,Houston Rockets,129,Sacramento Kings,112,,HP Field House
Sun Aug 9 2020,Brooklyn Nets,129,Los Angeles Clippers,120,,The Arena
Mon Aug 10 2020,Oklahoma City Thunder,101,Phoenix Suns,128,,HP Field House
Mon Aug 10 2020,Dallas Mavericks,122,Utah Jazz,114,,The Arena
Mon Aug 10 2020,Toronto Raptors,114,Milwaukee Bucks,106,,HP Field House
Mon Aug 10 2020,Indiana Pacers,92,Miami Heat,114,,Visa Athletic Center
Mon Aug 10 2020,Denver Nuggets,121,Los Angeles Lakers,124,,The Arena
Tue Aug 11 2020,Brooklyn Nets,108,Orlando Magic,96,,The Arena
Tue Aug 11 2020,Houston Rockets,105,San Antonio Spurs,123,,HP Field House
Tue Aug 11 2020,Phoenix Suns,130,Philadelphia 76ers,117,,Visa Athletic Center
Tue Aug 11 2020,Boston Celtics,122,Memphis Grizzlies,107,,The Arena
Tue Aug 11 2020,Portland Trail Blazers,134,Dallas Mavericks,131,,HP Field House
Tue Aug 11 2020,New Orleans Pelicans,106,Sacramento Kings,112,,The Arena
Tue Aug 11 2020,Milwaukee Bucks,126,Washington Wizards,113,,Visa Athletic Center
Wed Aug 12 2020,Indiana Pacers,108,Houston Rockets,104,,The Arena
Wed Aug 12 2020,Toronto Raptors,125,Philadelphia 76ers,121,,HP Field House
Wed Aug 12 2020,Miami Heat,115,Oklahoma City Thunder,116,,Visa Athletic Center
Wed Aug 12 2020,Los Angeles Clippers,124,Denver Nuggets,111,,The Arena
Thu Aug 13 2020,Washington Wizards,96,Boston Celtics,90,,The Arena
Thu Aug 13 2020,Sacramento Kings,136,Los Angeles Lakers,122,,HP Field House
Thu Aug 13 2020,Milwaukee Bucks,106,Memphis Grizzlies,119,,Visa Athletic Center
Thu Aug 13 2020,Dallas Mavericks,102,Phoenix Suns,128,,The Arena
Thu Aug 13 2020,San Antonio Spurs,112,Utah Jazz,118,,HP Field House
Thu Aug 13 2020,Portland Trail Blazers,134,Brooklyn Nets,133,,The Arena
Thu Aug 13 2020,New Orleans Pelicans,127,Orlando Magic,133,,Visa Athletic Center
Fri Aug 14 2020,Denver Nuggets,109,Toronto Raptors,117,,HP Field House
Fri Aug 14 2020,Miami Heat,92,Indiana Pacers,109,,The Arena
